time,value
1543216637, 14271488
1543216696, 16649728
1543216816, 15764992
1543220416, 16105984
1543224016, 16522752
1543227616, 16213504
1543231216, 16202752
1543234816, 16308224
1543238417, 16223232
1543242016, 16116224
1543245616, 15905792
1543249217, 15448064
1543252817, 15849472
1543256416, 15832576
1543260016, 16240640
1543263617, 15555584
1543267217, 16154624
1543270816, 8526848
1543274416, 5505024
1543278016, 15363072
1543281616, 15823360
1543285216, 15760896
1543288816, 16037376
1543292417, 16122368
1543296017, 15915008
1543299616, 15801856
1543303216, 15793152
1543306816, 15175680
1543310416, 14847488
1543314016, 16146944
1543317616, 15801856
1543321216, 15834624
1543324816, 15192576
1543328416, 14835200
1543332016, 14834624
1543346416, 7546880
1543350016, 13701120
1543353616, 5263360
1543357216, 5488640
1543360816, 14664704
1543364416, 15335424
1543368016, 14976000
1543371616, 13568000
1543375216, 14913024
1543378816, 14800896
1543382418, 14468608
1543386016, 14840320
1543389617, 14713344
