time,value
1543216621, 110595407872
1543216681, 107159434035
1543216801, 105226698752
1543220401, 104475079475
1543224001, 104689827840
1543227601, 102327595827
1543231201, 101361228186
1543234801, 101575976550
1543238401, 99106370355
1543242001, 96207267430
1543245601, 94059783782
1543249201, 91482803405
1543252801, 89013197210
1543256401, 88583700480
1543260001, 86758339379
1543263601, 86328842650
1543267201, 86221468467
1543270801, 115964116992
1543274401, 110595407872
1543278001, 106193066394
1543281601, 102971840922
1543285201, 102005473280
1543288801, 99106370355
1543292402, 96529389978
1543296001, 93522912870
1543299601, 91804925952
1543303201, 88798448845
1543306801, 86436216832
1543310401, 79886391706
1543314001, 82785494630
1543317601, 79671643341
1543321201, 79779017523
1543324801, 77738908058
1543328401, 76343043686
1543332001, 74195560038
1543346401, 115964116992
1543350001, 111669149696
1543353601, 109521666048
1543357201, 106407814758
1543360801, 102971840922
1543364401, 99643241267
1543368001, 98891621990
1543371601, 98784247808
1543375201, 96314641613
1543378801, 95670396518
1543382401, 93737661235
1543386001, 91482803405
1543389601, 88476326298
