time,value
1543216667, 2191889.576
1543216726, 2186810.635
1543216846, 2195700.514
1543220446, 2178747.400
1543224046, 2181660.069
1543227646, 2185271.565
1543231246, 2186369.875
1543234846, 2182817.509
1543238447, 2184978.448
1543242046, 2182206.073
1543245646, 2179802.264
1543249248, 2189036.802
1543252847, 2183599.046
1543256446, 2192271.361
1543260046, 2194179.249
1543263647, 2164793.007
1543267247, 2180880.090
1543270847, 2219828.992
1543274446, 2208861.465
1543278046, 2203544.481
1543281646, 2204989.803
1543285246, 2207658.116
1543288846, 2214889.712
1543292447, 2191996.923
1543296048, 2220039.331
1543299646, 2198895.388
1543303246, 2212665.531
1543306846, 2210943.152
1543310446, 2208924.213
1543314046, 2209297.139
1543317646, 2205863.711
1543321246, 2205033.301
1543324846, 2206075.947
1543328446, 2199141.439
1543346447, 2192636.269
1543350046, 2179269.563
1543353646, 2208526.590
1543357246, 2193616.419
1543360846, 2182454.616
1543364446, 2198153.966
1543368046, 2204796.803
1543371646, 2195262.350
1543375246, 2208715.873
1543378846, 2193911.460
1543382449, 2189626.319
1543386046, 2195406.151
1543389647, 2189944.018
1543393246, 2205293.417
