time,value
1543216652, 5.096
1543216711, 5.074
1543216831, 5.069
1543220431, 5.099
1543224031, 5.079
1543227631, 5.117
1543231231, 5.107
1543234831, 5.121
1543238432, 5.083
1543242031, 5.116
1543245631, 5.102
1543249233, 5.117
1543252832, 5.152
1543256431, 5.142
1543260031, 5.091
1543263632, 5.111
1543267232, 5.116
1543270832, 5.244
1543274431, 5.247
1543278031, 5.248
1543281631, 5.243
1543285231, 5.237
1543288831, 5.205
1543292432, 5.318
1543296033, 5.219
1543299631, 5.273
1543303231, 5.210
1543306831, 5.234
1543310431, 5.258
1543314031, 5.246
1543317631, 5.238
1543321231, 5.267
1543324831, 5.406
1543328431, 5.353
1543346432, 5.079
1543350031, 5.087
1543353631, 5.071
1543357231, 5.030
1543360831, 5.075
1543364431, 5.034
1543368031, 5.043
1543371631, 5.077
1543375231, 5.080
1543378831, 5.071
1543382434, 5.094
1543386031, 5.064
1543389632, 5.052
1543393231, 5.079
