time,value
1543192818,5379584
1543196418,5379584
1543200017,3878912
1543203617,3863552
1543266557,4229120
1543266617,3750912
1543266737,5396992
1543267099,5440000
1543270698,3654656
1543274298,5265408
1543277898,4896768
1543281498,5448192
1543285098,5377536
1543288698,5517312
1543292298,3652608
1543295898,3810304
1543299499,3295232
1543300579,3399680
1543304179,5331968
1543307779,3266560
1543311378,3819520
1543314979,5259776
1543318579,2516992
1543322179,3043328
1543325779,2651136
1543329378,3170304
1543332978,3017728
1543336579,5362176
1543340179,5560320
1543343779,5518336
1543347379,5517824
1543350979,3042304
1543354579,3615744
1543355838,5417472
1543355898,3485696
1543355959,2963456
1543356018,3642368
1543356199,3547136
1543356259,3885056
1543356318,3052544
1543356379,5440000
1543356438,5572096
1543356499,5456384
1543356558,3653632
1543357218,3482624
1543360819,3036160
1543364419,3080192
1543368019,3142656
