time,value
1543178401, 14074929952
1543182001, 14356679806
1543185601, 14281410504
1543189201, 14288389826
1543192801, 14124751572
1543196401, 14255425952
1543200001, 13853202265
1543203601, 14188961333
1543207201, 13954348745
1543210802, 14198947132
1543214401, 14276578666
1543218001, 14444834010
1543221601, 14504748804
1543225201, 14444834010
1543228801, 14390502674
1543232401, 14392650157
1543236001, 14462980247
1543239601, 14588393292
1543243201, 14424540289
1543246801, 14432485979
1543250401, 14424969786
1543254001, 14434203966
1543257601, 14526116266
1543261202, 14499594843
1543264802, 14513123990
1543266541, 8708862236
1543266601, 8684907056
1543266721, 8517457019
1543267081, 9038458027
1543270681, 9235360802
1543274281, 9195267283
1543277881, 9096934006
1543281481, 9133312379
1543285081, 9183048101
1543288681, 9104664948
1543292281, 9093401396
1543295881, 9069800551
1543299481, 9644188002
1543300561, 9567436936
1543304161, 9774529522
1543307761, 9425144670
1543311361, 9314280826
1543314961, 9569240823
1543318561, 9428451795
1543322161, 9244573507
1543325761, 9507200020
1543329361, 9426626434
1543332961, 9386103417
1543336561, 9332792136
1543340161, 9446630244
1543343761, 9603525399
1543347361, 9452675410
1543350961, 9511344663
1543354561, 9386361115
1543355821, 9354674994
1543355881, 9154357719
1543355941, 9183670871
1543356001, 9141097008
1543356181, 9218202408
1543356241, 9139454183
1543356301, 9176337214
1543356361, 9259938753
1543356421, 9189973736
1543356481, 9171118829
1543356541, 9094367763
1543357201, 9374378156
1543360801, 10006103421
1543364401, 9449583034
1543368001, 9277279683
1543371601, 9361890539
1543375201, 9385319586
1543378801, 9413226136
1543382401, 9503109064
1543386001, 9584863766
