time,value
1543178448, 461311.849
1543182048, 460330.158
1543185648, 461746.708
1543189248, 450683.638
1543192849, 461857.200
1543196448, 460624.069
1543200047, 462139.068
1543203647, 460878.572
1543207247, 453594.488
1543210847, 451184.556
1543214446, 437554.769
1543218046, 452881.577
1543221646, 456447.284
1543225246, 453489.133
1543228847, 456545.005
1543232446, 455194.763
1543236047, 452886.623
1543239647, 456648.675
1543243246, 454114.157
1543246846, 454973.354
1543250446, 450103.247
1543254046, 447929.030
1543257646, 434151.964
1543261248, 454237.492
1543264847, 455593.503
1543266587, 462544.889
1543266647, 460592.903
1543266767, 464175.819
1543267129, 459721.107
1543270728, 460458.266
1543274328, 460095.886
1543277928, 460210.409
1543281528, 460987.909
1543285128, 461194.684
1543288728, 459998.078
1543292328, 460479.864
1543295928, 460020.921
1543299529, 458779.353
1543300609, 460426.157
1543304209, 458170.751
1543307809, 460179.139
1543311408, 456931.501
1543315009, 460782.687
1543318609, 458489.935
1543322209, 459255.582
1543325810, 459707.450
1543329408, 456358.728
1543333008, 458375.043
1543336609, 460969.546
1543340209, 450966.518
1543343809, 459702.296
1543347409, 457525.610
1543351009, 456848.912
1543354609, 457462.160
1543355868, 459663.602
1543355928, 459181.785
1543355990, 458722.290
1543356048, 456222.559
1543356229, 458998.266
1543356289, 457464.253
1543356348, 456944.193
1543356409, 458365.349
1543356468, 456726.321
1543356529, 457157.285
1543356588, 455703.593
1543357248, 458696.528
1543360849, 458244.539
1543364449, 460201.762
1543368049, 457213.327
1543371648, 459841.599
1543375249, 440285.032
1543378848, 459396.444
1543382449, 458621.123
1543386049, 459581.263
