time,value
1543178433, 6.882
1543182033, 6.954
1543185633, 6.957
1543189233, 6.903
1543192833, 6.910
1543196433, 6.628
1543200032, 7.192
1543203632, 7.392
1543207232, 7.019
1543210832, 7.322
1543214431, 7.475
1543218031, 7.305
1543221631, 7.341
1543225231, 7.090
1543228832, 7.102
1543232431, 7.180
1543236032, 7.409
1543239631, 7.327
1543243231, 7.424
1543254031, 7.445
1543257631, 7.456
1543261233, 7.367
1543266572, 6.220
1543266632, 6.453
1543266752, 7.331
1543267114, 6.811
1543270713, 6.836
1543274313, 6.824
1543277913, 6.907
1543281513, 7.140
1543285113, 6.785
1543288713, 6.770
1543292313, 6.830
1543295913, 6.937
1543299514, 6.776
1543300594, 6.770
1543304194, 6.486
1543307794, 7.098
1543311393, 6.872
1543314994, 6.803
1543318594, 7.217
1543322194, 6.837
1543325794, 7.154
1543329393, 6.900
1543332993, 6.952
1543336594, 6.921
1543340194, 7.051
1543343794, 6.627
1543347394, 7.268
1543350994, 7.154
1543354594, 6.972
1543355853, 7.199
1543355913, 6.832
1543355975, 6.964
1543356033, 6.936
1543356214, 6.885
1543356274, 6.960
1543356333, 7.133
1543356394, 7.208
1543356453, 7.030
1543356514, 7.254
1543356573, 6.801
1543357233, 7.256
1543360834, 6.634
1543364434, 6.775
1543368034, 6.901
1543371633, 7.182
1543375234, 6.810
1543378833, 6.869
1543382434, 7.062
1543386034, 7.412
